"robot","total_time_before","total_time_load2bot","total_time_after","total_unload2channel"
1,"257:32:16","40:51:00","158:09:06","40:51:00"
2,"260:04:04","40:51:00","158:15:33","40:51:00"
3,"261:05:43","40:51:00","156:38:33","40:51:00"
4,"266:44:00","40:51:00","155:39:09","40:51:00"
5,"273:51:46","40:51:00","157:39:40","40:51:00"
6,"287:29:53","40:51:00","156:11:06","40:51:00"
7,"305:09:20","40:51:00","155:55:21","40:51:00"
8,"332:50:17","40:51:00","156:36:50","40:51:00"
9,"356:38:04","40:51:00","156:38:00","40:51:00"
10,"381:09:54","40:51:00","159:26:51","40:51:00"
11,"401:46:38","40:51:00","162:07:08","40:51:00"
12,"421:25:04","40:51:00","166:51:01","40:51:00"
13,"437:32:29","40:51:00","174:32:58","40:51:00"
14,"450:10:16","40:51:00","182:46:18","40:51:00"
15,"461:50:58","40:51:00","192:08:29","40:51:00"
16,"473:57:29","40:51:00","199:43:53","40:51:00"
