robot,d_total_time_before,d_total_time_load2bot,d_total_time_after,d_total_unload2channel,p_total_load2bot,p_total_time_before,p_total_time_load2tr,all_total_time_load_unload,all_total_time_after,sort_load_unload,sort_move
1,257:32:16,40:51:00,158:09:06,40:51:00,39:32:03,287:03:05,39:32:03,185:18:36,956:30:18,24:32:30,253:45:51
2,260:04:04,40:51:00,158:15:33,40:51:00,39:32:03,366:19:25,39:32:03,183:13:06,1039:56:36,22:27:00,255:17:34
3,261:05:43,40:51:00,156:38:33,40:51:00,39:32:03,450:31:25,39:32:03,182:24:06,1125:52:28,21:38:00,257:36:47
4,266:44:00,40:51:00,155:39:09,40:51:00,39:32:03,548:44:21,39:32:03,181:51:30,1236:45:11,21:05:24,265:37:41
5,273:51:46,40:51:00,157:39:40,40:51:00,39:32:03,659:35:32,39:32:03,180:47:48,1359:38:06,20:01:42,268:31:08
6,287:29:53,40:51:00,156:11:06,40:51:00,39:32:03,772:48:35,39:32:03,180:30:24,1492:39:17,19:44:18,276:09:43
7,305:09:20,40:51:00,155:55:21,40:51:00,39:32:03,906:31:18,39:32:03,180:54:30,1653:15:00,20:08:24,285:39:01
8,332:50:17,40:51:00,156:36:50,40:51:00,39:32:03,1051:13:21,39:32:03,180:17:30,1837:39:09,19:31:24,296:58:41
9,356:38:04,40:51:00,156:38:00,40:51:00,39:32:03,1242:16:48,39:32:03,180:14:18,2070:16:00,19:28:12,314:43:08
10,381:09:54,40:51:00,159:26:51,40:51:00,39:32:03,1393:02:09,39:32:03,180:03:12,2265:20:33,19:17:06,331:41:39
11,401:46:38,40:51:00,162:07:08,40:51:00,39:32:03,1551:13:27,39:32:03,180:45:30,2467:37:23,19:59:24,352:30:10
12,421:25:04,40:51:00,166:51:01,40:51:00,39:32:03,1661:07:49,39:32:03,180:20:30,2617:19:23,19:34:24,367:55:29
13,437:32:29,40:51:00,174:32:58,40:51:00,39:32:03,1794:12:24,39:32:03,180:00:24,2782:54:33,19:14:18,376:36:42
14,450:10:16,40:51:00,182:46:18,40:51:00,39:32:03,1925:46:56,39:32:03,180:16:06,2945:23:21,19:30:00,386:39:51
15,461:50:58,40:51:00,192:08:29,40:51:00,39:32:03,2063:03:04,39:32:03,180:11:36,3113:56:18,19:25:30,396:53:47
16,473:57:29,40:51:00,199:43:53,40:51:00,39:32:03,2197:48:35,39:32:03,180:31:06,3280:27:23,19:45:00,408:57:26
